Métrica,count,mean,std,min,5%,25%,50%,75%,95%,max
Rk_stats_misc_per90,5096.0,3.1521870786433825,12.294112121489185,0.0,0.023765851110038455,0.1409312866104291,0.36424946781254824,1.0159377477760245,11.769227848692285,100.00000000000001
Born_stats_playing_time_per90,5096.0,3.181178529209306,13.26332738898041,0.0,0.027600135774210624,0.2591059998967536,0.314223899148366,0.3983920435171906,11.026518220492184,100.0
MP_stats_playing_time_per90,5096.0,6.086667778260423,14.117242012636073,0.0,0.0997589822987659,2.010538529113897,2.4413277703120144,3.100775193798449,25.688296451809602,100.00000000000001
Mn/Sub_per90,5096.0,6.259366320333274,17.988724338975224,0.0,0.4596367529212625,1.6491577338457957,1.6491577338457957,1.6491577338457957,33.443579593810846,99.99999999999999
Stp%,345.0,6.284927536231884,4.270967982702355,0.0,0.0,3.8,5.6,7.9,13.840000000000009,33.3
Dist_per90,5096.0,6.491988739895309,13.852989070195358,0.0,0.2651647743904446,1.2736249595173028,2.6993009686673,4.984750557729953,25.39267767828929,100.0
Mn/Start_per90,5096.0,7.431288677027701,13.788633254827545,0.0,0.4154939324456042,3.8877980278457565,3.8877980278457565,3.8877980278457565,28.268309093766977,100.0
Mn/MP_per90,5096.0,8.46714549126389,20.203261234537102,0.0,0.24594175210977998,1.8700891249327853,2.416899412449074,3.2535767711247323,48.611545751086865,100.00000000000001
Fls_per90,5096.0,13.112256006605476,14.180883938782197,0.0,0.0,5.6587610314321735,10.778443113772456,16.31260083140562,32.9855103133208,100.0
Def Pen_per90,5096.0,13.594790687718778,20.8748862827778,0.0,0.0,2.376716818938215,6.100878219025047,14.033120262511543,74.29499728352565,100.0
TI_per90,5096.0,13.735351965686842,24.387628068807857,0.0,0.0,0.0,1.760820806335609,10.743168784746533,70.9465736298479,100.0
Crs_per90,5096.0,15.428579212774038,19.99448147765109,0.0,0.0,0.0,7.139752902464755,23.55193353954534,55.69308547714624,100.0
Crs_stats_misc_per90,5096.0,15.428579212774038,19.99448147765109,0.0,0.0,0.0,7.139752902464755,23.55193353954534,55.69308547714624,100.0
Att_stats_possession_per90,5096.0,15.612564424919984,18.04403798823637,0.0,0.0,2.5269976014413458,10.359712230215827,22.147458078253926,50.0,100.0
